Taxa,StandardGS,SE,Te,GSbyTE,Type,CentC_Mb
TIL02,1.147913107,0.03594648,0.61,0.696324091,Teosinte,27.40782324
TIL03,1.112410411,0.027159562,0.62,0.689360732,Teosinte,27.66372017
TIL05,0.970399627,0.027159562,0.61,0.587965134,Teosinte,30.07667937
TIL06,1.079825342,0.015693756,0.62,0.666684166,Teosinte,35.49278291
TIL08,0.97632414,0.027159562,0.67,0.654137174,Teosinte,32.84561092
TIL11,1.073956554,0.027159562,0.64,0.68743959,Teosinte,33.1837227
TIL15,1.068032041,0.03594648,0.60,0.635585868,Teosinte,33.31480004
TIL25,0.917145583,0.03594648,0.62,0.566062254,Teosinte,21.24446508
B73,1,0.022743906,0.65,0.6532,Inbred,35.11963295
B97,0.992906604,0.022743906,0.67,0.663162321,Inbred,39.96669417
CML103,1.003959541,0.022743906,0.66,0.66602676,Inbred,24.62880188
CML228,1.027529134,0.022743906,0.65,0.6719013,Inbred,23.47129281
CML247,1.021674267,0.022743906,0.63,0.639465924,Inbred,52.09618282
CML277,1.015838165,0.022743906,0.65,0.655621952,Inbred,25.09962201
CML322,1.002495825,0.022743906,0.65,0.655732519,Inbred,24.10863928
CML333,1.044192985,0.022743906,0.65,0.676741474,Inbred,30.48050927
CML52,1.014393214,0.022743906,0.59,0.60102798,Inbred,29.13114944
CML69,1.08617163,0.023550827,0.63,0.687329408,Inbred,29.06629908
HP301,0.959541369,0.022743906,0.65,0.628403642,Inbred,29.36421117
Ki11,1.034810186,0.022743906,0.65,0.671074406,Inbred,31.61836268
Ki3,1.021467845,0.022743906,0.63,0.643116155,Inbred,33.84739984
KY21,0.993863649,0.023550827,0.67,0.667975759,Inbred,23.26347853
M162W,0.972639757,0.02443281,0.67,0.656045516,Inbred,26.70481404
M37W,1.013135919,0.022743906,0.66,0.665731613,Inbred,27.30899652
MO18W,1.011878624,0.022743906,0.67,0.672899285,Inbred,23.94179438
MS71,0.953086003,0.022743906,0.65,0.620458988,Inbred,27.03014097
NC350,1.041490739,0.022743906,0.67,0.697590497,Inbred,23.65109794
NC358,0.987896189,0.022743906,0.67,0.658827968,Inbred,22.42840285
OH43,0.966390812,0.023550827,0.64,0.623032157,Inbred,32.43728366
OH7B,0.958115183,0.023550827,0.69,0.656979581,Inbred,19.20609832
P39,0.908874252,0.022743906,0.66,0.600856768,Inbred,21.07088065
TX303,1.019591285,0.022743906,0.66,0.670483229,Inbred,21.45676665
TZI8,1.019591285,0.023550827,0.65,0.65987948,Inbred,32.67357634
