=== 2025-05-29 01:21:00 START | TIME_LIMIT 1 sec | IGNORE ['/home/joaolopez/IncPy/Lib/']
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2964 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2955 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2971 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2971 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2964 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2975 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2954 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2961 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2974 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2963 ms
