experimentos,inputs,no_cache,cache,decisor,real deal,precisão
look_and_say,46,49.9064,0.0021,CACHE,CACHE,SUCESS
look_and_say,48,203.0698,0.0026,NO CACHE,CACHE,FAIL
gauss_legendre_quadrature,7000,27.185,0.0015,CACHE,CACHE,SUCESS
gauss_legendre_quadrature,11000,90.4492,0.0016,CACHE,CACHE,SUCESS
heat_distribution_lu,0.05,18.3891,6.3327,CACHE,CACHE,SUCESS
heat_distribution_lu,0.005,136.3798,49.737,CACHE,CACHE,SUCESS
fft,4000,11.9311,0.9513,CACHE,CACHE,SUCESS
fft,6000,42.962,3.0608,CACHE,CACHE,SUCESS
cvar,5e6,3.6911,1.201,CACHE,CACHE,SUCESS
cvar,50e6,47.9092,11.8658,CACHE,CACHE,SUCESS
belief_propagation,5500,43.0288,0.0025,CACHE,CACHE,SUCESS
belief_propagation,14500,100.5307,0.0024,CACHE,CACHE,SUCESS
basic_spheres,5000000,88.3288,88.5207,NO CACHE,NO CACHE,SUCESS
basic_spheres,11000000,192.8494,199.0202,NO CACHE,NO CACHE,SUCESS
walking_colloid,-50,22.0931,27.9919,NO CACHE,NO CACHE,SUCESS
walking_colloid,-110,48.6944,60.3219,NO CACHE,NO CACHE,SUCESS
vince_sim,2000000,153.4366,0.3832,NO CACHE,CACHE,FAIL
vince_sim,4000000,229.435,0.4628,CACHE,CACHE,SUCESS
TINY_GSHCGP,13,2.8768,12.7296,NO CACHE,NO CACHE,SUCESS
TINY_GSHCGP,15,12.3813,53.4681,NO CACHE,NO CACHE,SUCESS
epr_analyse,400,28.2391,33.4226,NO CACHE,NO CACHE,SUCESS
epr_analyse,800,34.714,40.0015,NO CACHE,NO CACHE,SUCESS
