//Chr2
//#ind #cat #coord #loci #dig/loc ploidy
217	0	1	1	3	1
-20
Ind	Loc	Ugh
chr02.1	93485945	1
chr02.2	93486095	2
chr02.3	93486251	3
chr02.4	93486406	4
chr02.5	93486561	5
chr02.6	93486717	6
chr02.7	93486871	7
chr02.8	93487028	8
chr02.9	93487181	9
chr02.10	93487336	10
chr02.11	93487492	11
chr02.12	93487648	12
chr02.13	93487805	13
chr02.14	93497037	14
chr02.15	93497193	15
chr02.16	93497897	16
chr02.17	93498053	17
chr02.18	93498218	18
chr02.19	93498373	19
chr02.20	93498528	20
chr02.21	93498683	21
chr02.22	93498835	22
chr02.23	93498991	23
chr02.24	93499148	24
chr02.25	93499301	25
chr02.26	93499456	26
chr02.27	93499613	27
chr02.28	93499768	28
chr02.29	93499924	29
chr02.30	93500081	30
chr02.31	93500236	31
chr02.32	93500392	32
chr02.33	93500547	33
chr02.34	93500702	34
chr02.35	93500857	35
chr02.36	93501012	36
chr02.37	93501164	37
chr02.38	93501597	38
chr02.39	93501750	39
chr02.40	93501905	40
chr02.41	93502062	41
chr02.42	93502217	42
chr02.43	93502372	43
chr02.44	93502527	44
chr02.45	93502681	45
chr02.46	93502835	46
chr02.47	93502991	47
chr02.48	93503146	48
chr02.49	93503302	49
chr02.50	93503458	50
chr02.51	93503615	51
chr02.52	93503771	52
chr02.53	93503927	53
chr02.54	93504083	54
chr02.55	93504239	55
chr02.56	93504394	56
chr02.57	93504901	57
chr02.58	93505051	58
chr02.59	93505207	59
chr02.60	93505362	60
chr02.61	93505520	61
chr02.62	93505676	62
chr02.63	93505837	63
chr02.64	93505987	64
chr02.65	93506142	65
chr02.66	93506297	66
chr02.67	93506452	67
chr02.68	93506607	68
chr02.69	93506763	69
chr02.70	93506926	70
chr02.71	93507076	71
chr02.72	93507231	72
chr02.73	93507408	73
chr02.74	93507565	74
chr02.75	93507720	75
chr02.76	93507875	76
chr02.77	93508201	77
chr02.78	93508359	78
chr02.79	93509191	79
chr02.80	93509339	80
chr02.81	93509496	81
chr02.82	93509668	82
chr02.83	93509824	83
chr02.84	93509981	84
chr02.85	93510136	85
chr02.86	93510292	86
chr02.87	93510447	87
chr02.88	93510602	88
chr02.89	93510757	89
chr02.90	93510913	90
chr02.91	93511064	91
chr02.92	93511219	92
chr02.93	93511716	93
chr02.94	93511871	94
chr02.95	93512036	95
chr02.96	93512183	96
chr02.97	93512338	97
chr02.98	93512494	98
chr02.99	93556038	99
chr02.100	93556196	100
chr02.101	93556351	101
chr02.102	93556506	102
chr02.103	93556665	103
chr02.104	93556818	104
chr02.105	93556982	105
chr02.106	93557140	106
chr02.107	93557286	107
chr02.108	93557442	108
chr02.109	93557609	109
chr02.110	93557754	110
chr02.111	93557910	111
chr02.112	93558065	112
chr02.113	93558221	113
chr02.114	93558385	114
chr02.115	93558535	115
chr02.116	93558690	116
chr02.117	93558846	117
chr02.118	93559002	118
chr02.119	93559158	119
chr02.120	93559320	120
chr02.121	93584374	121
chr02.122	93584530	122
chr02.123	93584687	123
chr02.124	93584842	124
chr02.125	93584998	125
chr02.126	93585153	126
chr02.127	93585309	127
chr02.128	93585465	128
chr02.129	93586082	129
chr02.130	93586238	130
chr02.131	93586394	131
chr02.132	93586548	132
chr02.133	93586704	133
chr02.134	93586860	134
chr02.135	93587015	135
chr02.136	93587171	136
chr02.137	93587326	137
chr02.138	93587481	138
chr02.139	93587638	139
chr02.140	93587794	140
chr02.141	93587950	141
chr02.142	93588106	142
chr02.143	93588262	143
chr02.144	93588420	144
chr02.145	93588576	145
chr02.146	93588889	146
chr02.147	93589044	147
chr02.148	93589200	148
chr02.149	93589356	149
chr02.150	93589511	150
chr02.151	93589666	151
chr02.152	93589822	152
chr02.153	93589979	153
chr02.154	93590135	154
chr02.155	93590291	155
chr02.156	93590446	156
chr02.157	93590602	157
chr02.158	93591852	158
chr02.159	93592008	159
chr02.160	93592165	160
chr02.161	93592321	161
chr02.162	93592476	162
chr02.163	93592625	163
chr02.164	93592780	164
chr02.165	93592936	165
chr02.166	93593192	166
chr02.167	93608820	167
chr02.168	93608976	168
chr02.169	93609231	169
chr02.170	93609386	170
chr02.171	93609542	171
chr02.172	93614548	172
chr02.173	93614704	173
chr02.174	93614860	174
chr02.175	93615011	175
chr02.176	93615166	176
chr02.177	93615320	177
chr02.178	93615476	178
chr02.179	93615632	179
chr02.180	99568059	180
chr02.181	187033963	181
chr02.182	187034109	182
chr02.183	187034265	183
chr02.184	187034418	184
chr02.185	187034574	185
chr02.186	187034737	186
chr02.187	187034885	187
chr02.188	187035041	188
chr02.189	187035197	189
chr02.190	187035353	190
chr02.191	187035508	191
chr02.192	187035665	192
chr02.193	187035819	193
chr02.194	187035975	194
chr02.195	187036131	195
chr02.196	187036287	196
chr02.197	187036442	197
chr02.198	187036599	198
chr02.199	187036756	199
chr02.200	187036915	200
chr02.201	187037070	201
chr02.202	187037226	202
chr02.203	187037381	203
chr02.204	187037537	204
chr02.205	187037692	205
chr02.206	187037846	206
chr02.207	187038001	207
chr02.208	187038158	208
chr02.209	187038314	209
chr02.210	187038472	210
chr02.211	187038627	211
chr02.212	187038782	212
chr02.213	187038945	213
chr02.214	187039094	214
chr02.215	187039250	215
chr02.216	187039404	216
chr02.217	187039559	217
END
//Pairwise Dist Matrix
