,gi|42740712|gb|AY530277.1|_(reversed),gi|42740717|gb|AY530282.1|_(reversed),gi|42740699|gb|AY530264.1|_(reversed),gi|42740722|gb|AY530287.1|_(reversed),16H10_15,16H10_25,16H10_12,gi|42740685|gb|AY530250.1|_(reversed),gi|42740671|gb|AY530236.1|_(reversed),gi|42740673|gb|AY530238.1|_(reversed),16H10_27,16H10_38,16H10_49,16H10_60,16H10_70,16H10_55,16H10_65,16H10_30,16H10_41,16H10_36,16H10_47,16H10_51,gi|42740675|gb|AY530240.1|_(reversed),gi|42740697|gb|AY530262.1|_(reversed),16H10_1,16H10_19,16H10_6,16H10_16,16H10_26,16H10_3,16H10_8,16H10_21,16H10_13,16H10_23,16H10_10,gi|42740696|gb|AY530261.1|_(reversed),gi|42740691|gb|AY530256.1|_(reversed),gi|42740657|gb|AY530222.1|_(reversed),gi|42740672|gb|AY530237.1|_(reversed),gi|42740665|gb|AY530230.1|_(reversed),16H10_34,16H10_45,16H10_58,16H10_68,16H10_73,gi|42740719|gb|AY530284.1|_(reversed),gi|42740688|gb|AY530253.1|_(reversed),gi|42740678|gb|AY530243.1|_(reversed),gi|42740677|gb|AY530242.1|_(reversed),gi|42740705|gb|AY530270.1|_(reversed),gi|42740692|gb|AY530257.1|_(reversed),gi|42740663|gb|AY530228.1|_(reversed),gi|42740661|gb|AY530226.1|_(reversed),gi|42740664|gb|AY530229.1|_(reversed),gi|42740703|gb|AY530268.1|_(reversed),gi|42740674|gb|AY530239.1|_(reversed),gi|42740708|gb|AY530273.1|_(reversed),gi|42740694|gb|AY530259.1|_(reversed),gi|42740713|gb|AY530278.1|_(reversed),gi|42740662|gb|AY530227.1|_(reversed),gi|42740656|gb|AY530221.1|_(reversed),gi|42740655|gb|AY530220.1|_(reversed),06E22_3,06E22_4,06E22_7,06E22_8,06E22_9,06E22_10,gi|42740701|gb|AY530266.1|_(reversed),gi|42740690|gb|AY530255.1|_(reversed),gi|42740667|gb|AY530232.1|_(reversed),gi|42740680|gb|AY530245.1|_(reversed),gi|42740686|gb|AY530251.1|_(reversed),gi|42740687|gb|AY530252.1|_(reversed),06E22_1,06E22_2,06E22_5,06E22_6,gi|42740684|gb|AY530249.1|_(reversed),gi|42740682|gb|AY530247.1|_(reversed),gi|42740660|gb|AY530225.1|_(reversed),gi|42740679|gb|AY530244.1|_(reversed),gi|42740654|gb|AY530219.1|_(reversed),gi|42740653|gb|AY530218.1|_(reversed),gi|42740704|gb|AY530269.1|_(reversed),gi|42740651|gb|AY530216.1|_(reversed),gi|42740659|gb|AY530224.1|_(reversed),16H10_61,16H10_71,16H10_56,16H10_66,gi|42740709|gb|AY530274.1|_(reversed),gi|42740669|gb|AY530234.1|_(reversed),gi|42740689|gb|AY530254.1|_(reversed),154C,154B,154A,gi|42740695|gb|AY530260.1|_(reversed),16H10_29,16H10_40,16H10_69,16H10_74,16H10_59,16H10_35,16H10_46_,gi|42740658|gb|AY530223.1|_(reversed),158A,156C,gi|42740652|gb|AY530217.1|_(reversed),gi|42740693|gb|AY530258.1|_(reversed),155A,16H10_14,16H10_2,16H10_20,16H10_7,16H10_4,16H10_9,16H10_17,16H10_22,16H10_5,16H10_18,16H10_11,16H10_24,gi|42740720|gb|AY530285.1|_(reversed),gi|42740683|gb|AY530248.1|_(reversed),gi|42740721|gb|AY530286.1|_(reversed),gi|42740715|gb|AY530280.1|_(reversed),16H10_37,16H10_48,gi|42740716|gb|AY530281.1|_(reversed),gi|42740714|gb|AY530279.1|_(reversed),gi|42740681|gb|AY530246.1|_(reversed),gi|42740706|gb|AY530271.1|_(reversed),gi|42740670|gb|AY530235.1|_(reversed),16H10_31,16H10_42,16H10_52,16H10_62,16H10_54,16H10_64,gi|42740702|gb|AY530267.1|_(reversed),gi|42740668|gb|AY530233.1|_(reversed),16H10_28,16H10_39,16H10_50,16H10_33,16H10_44,gi|42740676|gb|AY530241.1|_(reversed),16H10_57,16H10_67,16H10_72,gi|42740707|gb|AY530272.1|_(reversed),16H10_43,16H10_63,16H10_32,16H10_53,15C05_3,15C05_9,15C05_13,15C05_11,15C05_18,15C05_45,15C05_43,15C05_34,15C05_32,15C05_41,15C05_5,15C05_15,15C05_20,15C05_28_,15C05_48,15C05_23,15C05_37_,15C05_25,15C05_54,15C05_8,15C05_51,15C05_52,15C05_40,15C05_31,15C05_33,15C05_24,15C05_53,15C05_39,15C05_50,15C05_30,15C05_1,15C05_12,15C05_16,15C05_21,15C05_6,15C05_46_,15C05_4,15C05_14,15C05_10,15C05_42,15C05_44,15C05_19_,15C05_26,15C05_55_,15C05_38,15C05_49,15C05_29,15C05_56,15C05_35,15C05_2,15C05_7,15C05_17,gi|42740710|gb|AY530275.1|_(reversed),gi|42740711|gb|AY530276.1|_(reversed),gi|42740698|gb|AY530263.1|_(reversed),15C05_22,15C05_36,15C05_27,15C05_47,gi|42740700|gb|AY530265.1|_(reversed),gi|42740666|gb|AY530231.1|_(reversed),gi|42740718|gb|AY530283.1|_(reversed)
gi|42740712|gb|AY530277.1|_(reversed),0.000,-0.000,0.020,0.061,0.047,0.047,0.048,0.033,0.040,0.040,0.068,0.061,0.060,0.047,0.047,0.047,0.047,0.069,0.061,0.054,0.069,0.047,0.054,0.033,0.069,0.068,0.076,0.076,0.068,0.062,0.047,0.054,0.047,0.069,0.040,0.090,0.061,0.068,0.090,0.047,0.113,0.113,0.113,0.113,0.113,0.047,0.041,0.041,0.041,0.084,0.047,0.033,0.040,0.090,0.082,0.068,0.090,0.061,0.076,0.075,0.075,0.075,0.077,0.083,0.091,0.091,0.079,0.079,0.105,0.020,0.027,0.048,0.075,0.075,0.047,0.047,0.062,0.062,0.099,0.099,0.084,0.077,0.061,0.061,0.047,0.047,0.047,0.101,0.101,0.094,0.094,0.033,0.047,0.054,0.040,0.040,0.063,0.033,0.069,0.062,0.054,0.055,0.048,0.041,0.041,0.055,0.027,0.013,0.020,0.047,0.047,0.041,0.041,0.041,0.062,0.048,0.048,0.048,0.055,0.062,0.055,0.069,0.069,0.027,0.027,0.027,0.033,0.048,0.041,0.063,0.055,0.041,0.069,0.062,0.047,0.047,0.054,0.048,0.055,0.055,0.047,0.040,0.062,0.062,0.062,0.055,0.055,0.061,0.040,0.040,0.040,0.033,0.055,0.062,0.069,0.062,0.097,0.097,0.112,0.153,0.112,0.128,0.135,0.097,0.151,0.151,0.105,0.099,0.091,0.090,0.128,0.097,0.112,0.083,0.098,0.107,0.083,0.076,0.068,0.062,0.056,0.091,0.068,0.083,0.090,0.083,0.069,0.097,0.061,0.076,0.068,0.061,0.097,0.068,0.091,0.069,0.075,0.068,0.069,0.099,0.115,0.069,0.061,0.065,0.061,0.061,0.054,0.068,0.105,0.105,0.094,0.083,0.054,0.062,0.062,0.086,0.062,0.110
gi|42740717|gb|AY530282.1|_(reversed),-0.000,0.000,0.020,0.061,0.047,0.047,0.048,0.033,0.040,0.040,0.068,0.061,0.060,0.047,0.047,0.047,0.047,0.069,0.061,0.054,0.069,0.047,0.054,0.033,0.069,0.068,0.076,0.076,0.068,0.062,0.047,0.054,0.047,0.069,0.040,0.090,0.061,0.068,0.090,0.047,0.113,0.113,0.113,0.113,0.113,0.047,0.041,0.041,0.041,0.084,0.047,0.033,0.040,0.090,0.082,0.068,0.090,0.061,0.076,0.075,0.075,0.075,0.077,0.083,0.091,0.091,0.079,0.079,0.105,0.020,0.027,0.048,0.075,0.075,0.047,0.047,0.062,0.062,0.099,0.099,0.084,0.077,0.061,0.061,0.047,0.047,0.047,0.101,0.101,0.094,0.094,0.033,0.047,0.054,0.040,0.040,0.063,0.033,0.069,0.062,0.054,0.055,0.048,0.041,0.041,0.055,0.027,0.013,0.020,0.047,0.047,0.041,0.041,0.041,0.062,0.048,0.048,0.048,0.055,0.062,0.055,0.069,0.069,0.027,0.027,0.027,0.033,0.048,0.041,0.063,0.055,0.041,0.069,0.062,0.047,0.047,0.054,0.048,0.055,0.055,0.047,0.040,0.062,0.062,0.062,0.055,0.055,0.061,0.040,0.040,0.040,0.033,0.055,0.062,0.069,0.062,0.097,0.097,0.112,0.153,0.112,0.128,0.135,0.097,0.151,0.151,0.105,0.099,0.091,0.090,0.128,0.097,0.112,0.083,0.098,0.107,0.083,0.076,0.068,0.062,0.056,0.091,0.068,0.083,0.090,0.083,0.069,0.097,0.061,0.076,0.068,0.061,0.097,0.068,0.091,0.069,0.075,0.068,0.069,0.099,0.115,0.069,0.061,0.065,0.061,0.061,0.054,0.068,0.105,0.105,0.094,0.083,0.054,0.062,0.062,0.086,0.062,0.110
gi|42740699|gb|AY530264.1|_(reversed),0.020,0.020,0.000,0.053,0.026,0.026,0.027,0.013,0.019,0.019,0.045,0.037,0.037,0.026,0.026,0.040,0.040,0.047,0.040,0.033,0.047,0.026,0.047,0.026,0.047,0.047,0.061,0.054,0.046,0.040,0.026,0.033,0.026,0.062,0.033,0.081,0.039,0.060,0.068,0.026,0.089,0.089,0.089,0.089,0.089,0.026,0.033,0.033,0.033,0.082,0.026,0.026,0.033,0.081,0.074,0.060,0.081,0.060,0.067,0.074,0.074,0.074,0.068,0.075,0.090,0.090,0.071,0.071,0.089,0.026,0.033,0.040,0.082,0.082,0.054,0.054,0.068,0.068,0.090,0.097,0.075,0.069,0.053,0.053,0.040,0.054,0.054,0.097,0.097,0.090,0.091,0.040,0.054,0.046,0.047,0.047,0.069,0.040,0.075,0.068,0.061,0.061,0.055,0.048,0.047,0.054,0.047,0.033,0.040,0.067,0.054,0.047,0.047,0.047,0.068,0.055,0.055,0.055,0.061,0.068,0.061,0.075,0.076,0.033,0.033,0.033,0.040,0.054,0.047,0.069,0.061,0.047,0.067,0.075,0.054,0.054,0.061,0.055,0.061,0.061,0.054,0.047,0.075,0.075,0.075,0.061,0.061,0.074,0.047,0.047,0.047,0.040,0.061,0.068,0.075,0.068,0.089,0.089,0.104,0.144,0.104,0.119,0.111,0.104,0.142,0.142,0.096,0.090,0.083,0.082,0.119,0.104,0.119,0.075,0.090,0.098,0.082,0.075,0.068,0.061,0.055,0.083,0.075,0.075,0.082,0.090,0.074,0.111,0.067,0.082,0.074,0.068,0.089,0.060,0.082,0.061,0.074,0.067,0.060,0.089,0.105,0.061,0.053,0.064,0.053,0.074,0.053,0.067,0.095,0.095,0.085,0.068,0.061,0.075,0.054,0.099,0.068,0.108
gi|42740722|gb|AY530287.1|_(reversed),0.061,0.061,0.053,0.000,0.067,0.067,0.069,0.053,0.060,0.060,0.076,0.068,0.068,0.067,0.067,0.067,0.068,0.089,0.082,0.075,0.089,0.054,0.075,0.060,0.096,0.088,0.104,0.096,0.089,0.082,0.067,0.060,0.067,0.089,0.074,0.096,0.081,0.090,0.104,0.067,0.126,0.126,0.126,0.126,0.126,0.067,0.075,0.075,0.075,0.111,0.081,0.068,0.075,0.103,0.104,0.089,0.110,0.088,0.097,0.102,0.102,0.103,0.083,0.089,0.121,0.121,0.107,0.107,0.126,0.053,0.060,0.067,0.095,0.095,0.074,0.075,0.090,0.090,0.112,0.120,0.097,0.090,0.074,0.074,0.053,0.082,0.082,0.138,0.138,0.131,0.131,0.067,0.074,0.074,0.075,0.075,0.083,0.068,0.090,0.082,0.089,0.090,0.082,0.075,0.075,0.090,0.090,0.075,0.082,0.089,0.089,0.084,0.075,0.075,0.090,0.082,0.082,0.082,0.090,0.097,0.090,0.104,0.104,0.060,0.061,0.060,0.067,0.083,0.075,0.098,0.090,0.075,0.096,0.104,0.082,0.082,0.089,0.083,0.090,0.090,0.082,0.074,0.089,0.089,0.089,0.090,0.090,0.104,0.075,0.075,0.075,0.067,0.075,0.083,0.083,0.083,0.119,0.119,0.135,0.152,0.112,0.127,0.134,0.112,0.150,0.150,0.127,0.119,0.111,0.104,0.142,0.127,0.134,0.097,0.112,0.105,0.113,0.105,0.097,0.090,0.085,0.098,0.104,0.097,0.104,0.096,0.104,0.142,0.096,0.111,0.103,0.096,0.118,0.089,0.111,0.089,0.103,0.096,0.089,0.118,0.121,0.076,0.075,0.094,0.081,0.097,0.081,0.096,0.125,0.125,0.115,0.104,0.090,0.104,0.083,0.131,0.098,0.140
16H10_15,0.047,0.047,0.026,0.067,0.000,-0.000,0.020,0.013,0.020,0.020,0.045,0.037,0.037,0.026,0.026,0.040,0.040,0.047,0.040,0.033,0.047,0.026,0.047,0.033,0.054,0.046,0.061,0.054,0.047,0.040,0.026,0.033,0.026,0.061,0.033,0.075,0.026,0.047,0.069,0.026,0.082,0.082,0.089,0.089,0.089,0.026,0.047,0.047,0.047,0.097,0.040,0.040,0.047,0.082,0.061,0.061,0.082,0.060,0.068,0.074,0.074,0.075,0.069,0.075,0.075,0.075,0.077,0.077,0.090,0.040,0.033,0.055,0.082,0.082,0.054,0.054,0.068,0.068,0.091,0.083,0.061,0.069,0.054,0.054,0.040,0.054,0.054,0.082,0.082,0.090,0.076,0.040,0.054,0.046,0.040,0.040,0.062,0.033,0.068,0.061,0.054,0.054,0.048,0.041,0.040,0.047,0.061,0.047,0.040,0.061,0.068,0.055,0.047,0.047,0.068,0.054,0.054,0.054,0.061,0.068,0.061,0.075,0.076,0.033,0.033,0.033,0.040,0.054,0.047,0.063,0.055,0.047,0.068,0.061,0.054,0.053,0.061,0.055,0.061,0.061,0.054,0.047,0.075,0.075,0.075,0.061,0.061,0.075,0.047,0.047,0.047,0.040,0.062,0.069,0.076,0.069,0.075,0.075,0.089,0.144,0.104,0.104,0.111,0.104,0.142,0.142,0.096,0.075,0.068,0.082,0.104,0.104,0.119,0.075,0.089,0.083,0.090,0.082,0.075,0.068,0.063,0.069,0.061,0.076,0.082,0.090,0.060,0.103,0.054,0.068,0.060,0.068,0.089,0.060,0.067,0.060,0.081,0.067,0.047,0.076,0.090,0.047,0.054,0.064,0.053,0.075,0.053,0.067,0.096,0.096,0.085,0.062,0.062,0.075,0.054,0.085,0.062,0.108
16H10_25,0.047,0.047,0.026,0.067,-0.000,0.000,0.020,0.013,0.020,0.020,0.045,0.037,0.037,0.026,0.026,0.040,0.040,0.047,0.040,0.033,0.047,0.026,0.047,0.033,0.054,0.046,0.061,0.054,0.047,0.040,0.026,0.033,0.026,0.061,0.033,0.075,0.026,0.047,0.069,0.026,0.082,0.082,0.089,0.089,0.089,0.026,0.047,0.047,0.047,0.097,0.040,0.040,0.047,0.082,0.061,0.061,0.082,0.060,0.068,0.074,0.074,0.075,0.069,0.075,0.075,0.075,0.077,0.077,0.090,0.040,0.033,0.055,0.082,0.082,0.054,0.054,0.068,0.068,0.091,0.083,0.061,0.069,0.054,0.054,0.040,0.054,0.054,0.082,0.082,0.090,0.076,0.040,0.054,0.046,0.040,0.040,0.062,0.033,0.068,0.061,0.054,0.054,0.048,0.041,0.040,0.047,0.061,0.047,0.040,0.061,0.068,0.055,0.047,0.047,0.068,0.054,0.054,0.054,0.061,0.068,0.061,0.075,0.076,0.033,0.033,0.033,0.040,0.054,0.047,0.063,0.055,0.047,0.068,0.061,0.054,0.053,0.061,0.055,0.061,0.061,0.054,0.047,0.075,0.075,0.075,0.061,0.061,0.075,0.047,0.047,0.047,0.040,0.062,0.069,0.076,0.069,0.075,0.075,0.089,0.144,0.104,0.104,0.111,0.104,0.142,0.142,0.096,0.075,0.068,0.082,0.104,0.104,0.119,0.075,0.089,0.083,0.090,0.082,0.075,0.068,0.063,0.069,0.061,0.076,0.082,0.090,0.060,0.103,0.054,0.068,0.060,0.068,0.089,0.060,0.067,0.060,0.081,0.067,0.047,0.076,0.090,0.047,0.054,0.064,0.053,0.075,0.053,0.067,0.096,0.096,0.085,0.062,0.062,0.075,0.054,0.085,0.062,0.108
16H10_12,0.048,0.048,0.027,0.069,0.020,0.020,0.000,0.020,0.027,0.027,0.052,0.045,0.045,0.033,0.033,0.047,0.048,0.055,0.048,0.041,0.055,0.034,0.055,0.040,0.062,0.054,0.069,0.062,0.054,0.047,0.033,0.040,0.033,0.069,0.040,0.083,0.033,0.054,0.077,0.034,0.090,0.090,0.091,0.091,0.091,0.034,0.055,0.055,0.055,0.106,0.047,0.048,0.055,0.091,0.068,0.069,0.091,0.054,0.077,0.076,0.076,0.076,0.078,0.084,0.077,0.077,0.086,0.086,0.099,0.040,0.041,0.055,0.090,0.090,0.061,0.062,0.077,0.077,0.099,0.092,0.084,0.078,0.061,0.061,0.048,0.062,0.062,0.084,0.084,0.084,0.084,0.048,0.062,0.054,0.048,0.048,0.070,0.041,0.076,0.069,0.062,0.062,0.055,0.048,0.048,0.055,0.070,0.055,0.048,0.069,0.076,0.063,0.048,0.048,0.069,0.055,0.055,0.055,0.062,0.069,0.062,0.076,0.076,0.041,0.041,0.041,0.048,0.062,0.055,0.071,0.063,0.055,0.076,0.077,0.048,0.048,0.055,0.055,0.069,0.070,0.062,0.055,0.076,0.076,0.076,0.069,0.069,0.084,0.055,0.055,0.055,0.048,0.070,0.077,0.085,0.077,0.084,0.084,0.098,0.154,0.113,0.114,0.121,0.114,0.145,0.145,0.114,0.099,0.091,0.091,0.129,0.114,0.129,0.084,0.098,0.107,0.091,0.084,0.076,0.069,0.064,0.092,0.084,0.085,0.091,0.099,0.069,0.090,0.061,0.076,0.068,0.076,0.098,0.069,0.090,0.068,0.090,0.068,0.055,0.084,0.099,0.048,0.062,0.072,0.061,0.076,0.054,0.069,0.106,0.106,0.094,0.070,0.070,0.076,0.062,0.094,0.071,0.119
gi|42740685|gb|AY530250.1|_(reversed),0.033,0.033,0.013,0.053,0.013,0.013,0.020,0.000,0.006,0.006,0.029,0.022,0.022,0.013,0.013,0.026,0.026,0.033,0.026,0.020,0.033,0.013,0.033,0.019,0.040,0.033,0.047,0.040,0.033,0.026,0.013,0.020,0.013,0.047,0.020,0.067,0.026,0.047,0.054,0.013,0.074,0.074,0.074,0.074,0.074,0.013,0.033,0.033,0.033,0.082,0.026,0.026,0.033,0.067,0.060,0.046,0.067,0.046,0.054,0.060,0.060,0.060,0.054,0.061,0.076,0.076,0.063,0.063,0.074,0.026,0.020,0.041,0.067,0.067,0.040,0.040,0.054,0.054,0.075,0.083,0.061,0.054,0.040,0.040,0.026,0.040,0.040,0.083,0.083,0.090,0.076,0.026,0.040,0.033,0.033,0.033,0.055,0.026,0.061,0.054,0.047,0.047,0.040,0.034,0.033,0.040,0.047,0.033,0.040,0.053,0.054,0.041,0.033,0.033,0.054,0.040,0.040,0.040,0.047,0.054,0.047,0.061,0.061,0.020,0.020,0.020,0.026,0.040,0.033,0.055,0.047,0.033,0.053,0.061,0.040,0.040,0.047,0.041,0.047,0.047,0.040,0.033,0.061,0.061,0.061,0.047,0.047,0.060,0.033,0.033,0.033,0.026,0.047,0.054,0.061,0.054,0.075,0.075,0.089,0.128,0.089,0.104,0.096,0.089,0.126,0.126,0.097,0.076,0.068,0.068,0.104,0.089,0.104,0.061,0.075,0.083,0.075,0.068,0.061,0.054,0.048,0.069,0.061,0.061,0.068,0.075,0.060,0.103,0.053,0.068,0.060,0.054,0.074,0.046,0.067,0.047,0.067,0.053,0.046,0.075,0.091,0.047,0.040,0.049,0.039,0.060,0.039,0.053,0.081,0.081,0.070,0.054,0.047,0.061,0.040,0.084,0.054,0.093
gi|42740671|gb|AY530236.1|_(reversed),0.040,0.040,0.019,0.060,0.020,0.020,0.027,0.006,0.000,0.013,0.037,0.030,0.029,0.020,0.020,0.033,0.033,0.040,0.033,0.026,0.040,0.020,0.040,0.026,0.047,0.040,0.054,0.047,0.040,0.033,0.020,0.026,0.020,0.054,0.026,0.074,0.033,0.054,0.061,0.019,0.082,0.082,0.082,0.082,0.082,0.019,0.040,0.040,0.040,0.089,0.033,0.033,0.040,0.074,0.067,0.053,0.074,0.053,0.060,0.067,0.067,0.067,0.061,0.068,0.083,0.083,0.070,0.070,0.082,0.033,0.026,0.047,0.074,0.074,0.046,0.047,0.061,0.061,0.082,0.090,0.068,0.061,0.046,0.046,0.033,0.047,0.047,0.090,0.090,0.097,0.084,0.033,0.046,0.033,0.040,0.040,0.062,0.033,0.068,0.061,0.054,0.054,0.047,0.040,0.040,0.047,0.054,0.040,0.047,0.060,0.061,0.047,0.040,0.040,0.061,0.047,0.047,0.047,0.054,0.061,0.054,0.068,0.068,0.026,0.026,0.026,0.033,0.047,0.040,0.062,0.054,0.040,0.060,0.068,0.047,0.047,0.054,0.048,0.054,0.054,0.047,0.040,0.068,0.068,0.068,0.054,0.054,0.067,0.040,0.040,0.040,0.033,0.054,0.061,0.068,0.061,0.082,0.082,0.097,0.135,0.096,0.111,0.104,0.096,0.134,0.134,0.104,0.083,0.075,0.075,0.111,0.096,0.111,0.068,0.082,0.090,0.082,0.075,0.068,0.061,0.055,0.076,0.068,0.068,0.075,0.082,0.067,0.111,0.060,0.074,0.067,0.061,0.081,0.053,0.074,0.053,0.074,0.060,0.053,0.082,0.098,0.054,0.047,0.056,0.046,0.067,0.046,0.060,0.088,0.088,0.077,0.061,0.054,0.068,0.047,0.092,0.061,0.101
gi|42740673|gb|AY530238.1|_(reversed),0.040,0.040,0.019,0.060,0.020,0.020,0.027,0.006,0.013,0.000,0.037,0.030,0.029,0.020,0.020,0.033,0.033,0.040,0.033,0.026,0.040,0.020,0.040,0.026,0.047,0.040,0.054,0.047,0.040,0.033,0.020,0.026,0.020,0.047,0.026,0.074,0.033,0.054,0.061,0.019,0.082,0.082,0.082,0.082,0.082,0.019,0.040,0.040,0.040,0.089,0.033,0.033,0.040,0.074,0.067,0.053,0.067,0.053,0.047,0.067,0.067,0.067,0.061,0.068,0.083,0.083,0.070,0.070,0.082,0.033,0.026,0.047,0.074,0.074,0.046,0.047,0.061,0.061,0.082,0.090,0.068,0.061,0.046,0.046,0.033,0.040,0.040,0.090,0.090,0.097,0.084,0.033,0.046,0.039,0.040,0.040,0.062,0.033,0.068,0.061,0.054,0.054,0.047,0.040,0.040,0.047,0.054,0.040,0.047,0.060,0.061,0.047,0.040,0.040,0.061,0.047,0.047,0.047,0.054,0.061,0.054,0.068,0.068,0.026,0.026,0.026,0.033,0.047,0.040,0.062,0.054,0.040,0.060,0.068,0.047,0.047,0.054,0.048,0.054,0.054,0.047,0.040,0.068,0.068,0.068,0.054,0.054,0.067,0.040,0.040,0.040,0.033,0.054,0.061,0.068,0.061,0.082,0.082,0.097,0.135,0.096,0.111,0.104,0.096,0.134,0.134,0.104,0.083,0.075,0.075,0.111,0.096,0.111,0.068,0.082,0.090,0.082,0.075,0.068,0.061,0.055,0.076,0.068,0.068,0.075,0.082,0.067,0.111,0.060,0.074,0.067,0.061,0.081,0.053,0.074,0.053,0.074,0.060,0.053,0.082,0.098,0.054,0.047,0.056,0.033,0.067,0.046,0.060,0.088,0.088,0.077,0.061,0.054,0.068,0.047,0.092,0.061,0.101
