Chromosome,ChromStart,ChromEnd,Band,Stain
chr1,0,122681379,q11,gneg
chr1,122681379,122681379,p36.33,acen
chr1,122681379,122681523,q11,gneg
chr1,122681523,122681523,p36.33,acen
chr1,122681523,122681678,q11,gneg
chr1,122681678,122681678,p36.33,acen
chr1,122681678,122681834,q11,gneg
chr1,122681834,122681834,p36.33,acen
chr1,122681834,122681991,q11,gneg
chr1,122681991,122681991,p36.33,acen
chr1,122681991,122682146,q11,gneg
chr1,122682146,122682146,p36.33,acen
chr1,122682146,122682301,q11,gneg
chr1,122682301,122682301,p36.33,acen
chr1,122682301,122682457,q11,gneg
chr1,122682457,122682457,p36.33,acen
chr1,122682457,122682612,q11,gneg
chr1,122682612,122682612,p36.33,acen
chr1,122682612,122682779,q11,gneg
chr1,122682779,122682779,p36.33,acen
chr1,122682779,122682928,q11,gneg
chr1,122682928,122682928,p36.33,acen
chr1,122682928,122683084,q11,gneg
chr1,122683084,122683084,p36.33,acen
chr1,122683084,122683239,q11,gneg
chr1,122683239,122683239,p36.33,acen
chr1,122683239,122683395,q11,gneg
chr1,122683395,122683395,p36.33,acen
chr1,122683395,122683550,q11,gneg
chr1,122683550,122683550,p36.33,acen
chr1,122683550,122683706,q11,gneg
chr1,122683706,122683706,p36.33,acen
chr1,122683706,122683861,q11,gneg
chr1,122683861,122683861,p36.33,acen
chr1,122683861,122684019,q11,gneg
chr1,122684019,122684019,p36.33,acen
chr1,122684019,122684174,q11,gneg
chr1,122684174,122684174,p36.33,acen
chr1,122684174,122684329,q11,gneg
chr1,122684329,122684329,p36.33,acen
chr1,122684329,122684484,q11,gneg
chr1,122684484,122684484,p36.33,acen
chr1,122684484,122684640,q11,gneg
chr1,122684640,122684640,p36.33,acen
chr1,122684640,122684796,q11,gneg
chr1,122684796,122684796,p36.33,acen
chr1,122684796,122684955,q11,gneg
chr1,122684955,122684955,p36.33,acen
chr1,122684955,122685495,q11,gneg
chr1,122685495,122685495,p36.33,acen
chr1,122685495,122685651,q11,gneg
chr1,122685651,122685651,p36.33,acen
chr1,122685651,122685806,q11,gneg
chr1,122685806,122685806,p36.33,acen
chr1,122685806,122685962,q11,gneg
chr1,122685962,122685962,p36.33,acen
chr1,122685962,122686117,q11,gneg
chr1,122686117,122686117,p36.33,acen
chr1,122686117,122686273,q11,gneg
chr1,122686273,122686273,p36.33,acen
chr1,122686273,122686429,q11,gneg
chr1,122686429,122686429,p36.33,acen
chr1,122686429,122686584,q11,gneg
chr1,122686584,122686584,p36.33,acen
chr1,122686584,122686740,q11,gneg
chr1,122686740,122686740,p36.33,acen
chr1,122686740,122686896,q11,gneg
chr1,122686896,122686896,p36.33,acen
chr1,122686896,122687057,q11,gneg
chr1,122687057,122687057,p36.33,acen
chr1,122687057,122687211,q11,gneg
chr1,122687211,122687211,p36.33,acen
chr1,122687211,122687367,q11,gneg
chr1,122687367,122687367,p36.33,acen
chr1,122687367,122687522,q11,gneg
chr1,122687522,122687522,p36.33,acen
chr1,122687522,122687678,q11,gneg
chr1,122687678,122687678,p36.33,acen
chr1,122687678,122687833,q11,gneg
chr1,122687833,122687833,p36.33,acen
chr1,122687833,122687989,q11,gneg
chr1,122687989,122687989,p36.33,acen
chr1,122687989,122688145,q11,gneg
chr1,122688145,122688145,p36.33,acen
chr1,122688145,122688301,q11,gneg
chr1,122688301,122688301,p36.33,acen
chr1,122688301,122688456,q11,gneg
chr1,122688456,122688456,p36.33,acen
chr1,122688456,122688612,q11,gneg
chr1,122688612,122688612,p36.33,acen
chr1,122688612,122688768,q11,gneg
chr1,122688768,122688768,p36.33,acen
chr1,122688768,122688924,q11,gneg
chr1,122688924,122688924,p36.33,acen
chr1,122688924,122689080,q11,gneg
chr1,122689080,122689080,p36.33,acen
chr1,122689080,122690014,q11,gneg
chr1,122690014,122690014,p36.33,acen
chr1,122690014,122690157,q11,gneg
chr1,122690157,122690157,p36.33,acen
chr1,122690157,122690311,q11,gneg
chr1,122690311,122690311,p36.33,acen
chr1,122690311,122690467,q11,gneg
chr1,122690467,122690467,p36.33,acen
chr1,122690467,122690622,q11,gneg
chr1,122690622,122690622,p36.33,acen
chr1,122690622,122690780,q11,gneg
chr1,122690780,122690780,p36.33,acen
chr1,122690780,122690936,q11,gneg
chr1,122690936,122690936,p36.33,acen
chr1,122690936,122691091,q11,gneg
chr1,122691091,122691091,p36.33,acen
chr1,122691091,122691247,q11,gneg
chr1,122691247,122691247,p36.33,acen
chr1,122691247,122691403,q11,gneg
chr1,122691403,122691403,p36.33,acen
chr1,122691403,128901007,q11,gneg
chr1,128901007,128901007,p36.33,acen
chr1,128901007,128901149,q11,gneg
chr1,128901149,128901149,p36.33,acen
chr1,128901149,128901305,q11,gneg
chr1,128901305,128901305,p36.33,acen
chr1,128901305,128901461,q11,gneg
chr1,128901461,128901461,p36.33,acen
chr1,128901461,128901617,q11,gneg
chr1,128901617,128901617,p36.33,acen
chr1,128901617,128901774,q11,gneg
chr1,128901774,128901774,p36.33,acen
chr1,128901774,128901929,q11,gneg
chr1,128901929,128901929,p36.33,acen
chr1,128901929,128902082,q11,gneg
chr1,128902082,128902082,p36.33,acen
chr1,128902082,128902238,q11,gneg
chr1,128902238,128902238,p36.33,acen
chr1,128902238,128902393,q11,gneg
chr1,128902393,128902393,p36.33,acen
chr1,128902393,128902546,q11,gneg
chr1,128902546,128902546,p36.33,acen
chr1,128902546,128902702,q11,gneg
chr1,128902702,128902702,p36.33,acen
chr1,128902702,128902857,q11,gneg
chr1,128902857,128902857,p36.33,acen
chr1,128902857,128903019,q11,gneg
chr1,128903019,128903019,p36.33,acen
chr1,128903019,128903171,q11,gneg
chr1,128903171,128903171,p36.33,acen
chr1,128903171,128903327,q11,gneg
chr1,128903327,128903327,p36.33,acen
chr1,128903327,130258981,q11,gneg
chr1,130258981,130258981,p36.33,acen
chr1,130258981,130259136,q11,gneg
chr1,130259136,130259136,p36.33,acen
chr1,130259136,130259447,q11,gneg
chr1,130259447,130259447,p36.33,acen
chr1,130259447,130270155,q11,gneg
chr1,130270155,130270155,p36.33,acen
chr1,130270155,130270451,q11,gneg
chr1,130270451,130270451,p36.33,acen
chr1,130270451,131669294,q11,gneg
chr1,131669294,131669294,p36.33,acen
chr1,131669294,131669447,q11,gneg
chr1,131669447,131669447,p36.33,acen
chr1,131669447,131669602,q11,gneg
chr1,131669602,131669602,p36.33,acen
chr1,131669602,131669758,q11,gneg
chr1,131669758,131669758,p36.33,acen
chr1,131669758,131669912,q11,gneg
chr1,131669912,131669912,p36.33,acen
chr1,131669912,131670066,q11,gneg
chr1,131670066,131670066,p36.33,acen
chr1,131670066,131670221,q11,gneg
chr1,131670221,131670221,p36.33,acen
chr1,131670221,131670377,q11,gneg
chr1,131670377,131670377,p36.33,acen
chr1,131670377,131670533,q11,gneg
chr1,131670533,131670533,p36.33,acen
chr1,131670533,131670688,q11,gneg
chr1,131670688,131670688,p36.33,acen
chr1,131670688,131670841,q11,gneg
chr1,131670841,131670841,p36.33,acen
chr1,131670841,131670999,q11,gneg
chr1,131670999,131670999,p36.33,acen
chr1,131670999,131671152,q11,gneg
chr1,131671152,131671152,p36.33,acen
chr1,131671152,131671306,q11,gneg
chr1,131671306,131671306,p36.33,acen
chr1,131671306,131681965,q11,gneg
chr1,131681965,131681965,p36.33,acen
chr1,131681965,131682124,q11,gneg
chr1,131682124,131682124,p36.33,acen
chr1,131682124,131682287,q11,gneg
chr1,131682287,131682287,p36.33,acen
chr1,131682287,131682433,q11,gneg
chr1,131682433,131682433,p36.33,acen
chr1,131682433,131682587,q11,gneg
chr1,131682587,131682587,p36.33,acen
chr1,131682587,131682743,q11,gneg
chr1,131682743,131682743,p36.33,acen
chr1,131682743,131682897,q11,gneg
chr1,131682897,131682897,p36.33,acen
chr1,131682897,131683052,q11,gneg
chr1,131683052,131683052,p36.33,acen
chr1,131683052,131683204,q11,gneg
chr1,131683204,131683204,p36.33,acen
chr1,131683204,131683360,q11,gneg
chr1,131683360,131683360,p36.33,acen
chr1,131683360,131683514,q11,gneg
chr1,131683514,131683514,p36.33,acen
chr1,131683514,131683670,q11,gneg
chr1,131683670,131683670,p36.33,acen
chr1,131683670,131683824,q11,gneg
chr1,131683824,131683824,p36.33,acen
chr1,131683824,131683978,q11,gneg
chr1,131683978,131683978,p36.33,acen
chr1,131683978,131684133,q11,gneg
chr1,131684133,131684133,p36.33,acen
chr1,131684133,131684285,q11,gneg
chr1,131684285,131684285,p36.33,acen
chr1,131684285,131684443,q11,gneg
chr1,131684443,131684443,p36.33,acen
chr1,131684443,131684597,q11,gneg
chr1,131684597,131684597,p36.33,acen
chr1,131684597,131684751,q11,gneg
chr1,131684751,131684751,p36.33,acen
chr1,131684751,131684907,q11,gneg
chr1,131684907,131684907,p36.33,acen
chr1,131684907,131685061,q11,gneg
chr1,131685061,131685061,p36.33,acen
chr1,131685061,131685217,q11,gneg
chr1,131685217,131685217,p36.33,acen
chr1,131685217,131685372,q11,gneg
chr1,131685372,131685372,p36.33,acen
chr1,131685372,131685527,q11,gneg
chr1,131685527,131685527,p36.33,acen
chr1,131685527,131685679,q11,gneg
chr1,131685679,131685679,p36.33,acen
chr1,131685679,131685835,q11,gneg
chr1,131685835,131685835,p36.33,acen
chr1,131685835,131685989,q11,gneg
chr1,131685989,131685989,p36.33,acen
chr1,131685989,131686145,q11,gneg
chr1,131686145,131686145,p36.33,acen
chr1,131686145,131686299,q11,gneg
chr1,131686299,131686299,p36.33,acen
chr1,131686299,131686454,q11,gneg
chr1,131686454,131686454,p36.33,acen
chr1,131686454,131686609,q11,gneg
chr1,131686609,131686609,p36.33,acen
chr1,131686609,131686770,q11,gneg
chr1,131686770,131686770,p36.33,acen
chr1,131686770,131686917,q11,gneg
chr1,131686917,131686917,p36.33,acen
chr1,131686917,131687069,q11,gneg
chr1,131687069,131687069,p36.33,acen
chr1,131687069,131687222,q11,gneg
chr1,131687222,131687222,p36.33,acen
chr1,131687222,131687377,q11,gneg
chr1,131687377,131687377,p36.33,acen
chr1,131687377,131687516,q11,gneg
chr1,131687516,131687516,p36.33,acen
chr1,131687516,131687672,q11,gneg
chr1,131687672,131687672,p36.33,acen
chr1,131687672,131687827,q11,gneg
chr1,131687827,131687827,p36.33,acen
chr1,131687827,131687981,q11,gneg
chr1,131687981,131687981,p36.33,acen
chr1,131687981,131688135,q11,gneg
chr1,131688135,131688135,p36.33,acen
chr1,131688135,131688290,q11,gneg
chr1,131688290,131688290,p36.33,acen
chr1,131688290,131688446,q11,gneg
chr1,131688446,131688446,p36.33,acen
chr1,131688446,131688601,q11,gneg
chr1,131688601,131688601,p36.33,acen
chr1,131688601,131688751,q11,gneg
chr1,131688751,131688751,p36.33,acen
chr1,131688751,131688895,q11,gneg
chr1,131688895,131688895,p36.33,acen
chr1,131688895,131689050,q11,gneg
chr1,131689050,131689050,p36.33,acen
chr1,131689050,131689205,q11,gneg
chr1,131689205,131689205,p36.33,acen
chr1,131689205,131689345,q11,gneg
chr1,131689345,131689345,p36.33,acen
